頁面,待補說明,來源資料夾
zh/about/philosophy,該資料夾命名為「四大核心價值」，惟目前已確認之官方版本為 五大核心價值 （見下方展開）。此命名落差建議與客戶核對，確認是否為資料夾命名沿用舊版，以免正式內文與展開項目對不上。來源同上 .../2.3_足球理念與四大核心價值/四大核心價值.gdoc,
zh/about/vision-mission,願景完整敘述文字待補 —— 來源 TCRFC_資料收件夾/02_ABOUT_關於磐石★/2.2_願景與使命/2.2_願景與使命.gdoc （目前為 Google Docs 捷徑，尚未取回文字內容）,TCRFC_資料收件夾/02_ABOUT_關於磐石★/2.2_願景與使命/2.2_願景與使命.gdoc （目前為 Google Docs 捷徑
zh/about/vision-mission,願景條列重點待補（圖示條列版型已備妥，待內文確認後填入 3–5 條）,
zh/about/vision-mission,使命完整敘述文字待補 —— 來源同上 TCRFC_資料收件夾/02_ABOUT_關於磐石★/2.2_願景與使命/2.2_願景與使命.gdoc,TCRFC_資料收件夾/02_ABOUT_關於磐石★/2.2_願景與使命/2.2_願景與使命.gdoc
zh/about/vision-mission,使命條列重點待補（圖示條列版型已備妥，待內文確認後填入 3–5 條）,
zh/academy/coaches,照片與簡介待補 —— 來源 4.5_學院教練團（每人一資料夾：姓名）/青訓總監_徐翊/ （目前資料夾為空）。,
zh/academy/coaches,簡介、證照與專長待補 —— 來源同上資料夾（僅有一張照片，無文字資料）。,
zh/academy/coaches,照片與簡介待補 —— 來源 4.5_學院教練團（每人一資料夾：姓名）/青訓教練_黃聖傑/ （目前資料夾為空）。,
zh/academy/coaches,三位教練的證照等級、專長領域與各自負責的梯隊（U15／U14／U12）待補 —— 目前收件夾僅提供姓名與職稱， 無證照、專長或帶隊分工資訊，來源同上。,
zh/academy/curriculum,完整訓練理念全文待補 —— 來源 TCRFC_資料收件夾/04_ACADEMY_磐石足球學院/4.4_訓練課程與課綱/ 內的 Google 文件捷徑，內容尚未匯出取回，僅檔名本身保留了上述節錄文字。,TCRFC_資料收件夾/04_ACADEMY_磐石足球學院/4.4_訓練課程與課綱/ 內的 Google 文件捷徑
zh/academy/curriculum,待補,
zh/academy/curriculum,待補,
zh/academy/curriculum,待補,
zh/academy/curriculum,待補,
zh/academy/curriculum,待補,
zh/academy/curriculum,課綱細節與週期規劃表待補 —— 來源同上資料夾（目前僅有一份未匯出的 Google 文件捷徑）。,
zh/academy/join,招生對象細節（年齡區間、名額、是否分區招收）待補 —— 來源 TCRFC_資料收件夾/04_ACADEMY_磐石足球學院/4.7_加入學院★（招生簡章、遴選流程、費用表）/ （目前資料夾為空）。,TCRFC_資料收件夾/04_ACADEMY_磐石足球學院/4.7_加入學院★（招生簡章、遴選流程、費用表
zh/academy/join,報名方式與所需資料待補，來源同上。可先透過下方「線上申請」與我們聯繫。,
zh/academy/join,試訓場次日期、地點與對象待補，來源同上（詳見下方「試訓資訊」）。,
zh/academy/join,評估標準與方式待補，來源同上。,
zh/academy/join,通知方式與後續報到流程待補，來源同上。,
zh/academy/join,試訓場次（日期、地點、對象、名額、報名截止）待補 —— 來源同上資料夾，目前無任何試訓場次資料。,
zh/academy/join,待補,
zh/academy/join,待補,
zh/academy/join,待補,
zh/academy/join,待補,
zh/academy/join,費用與資訊表待補 —— 來源同上資料夾（目前資料夾為空）。上線前務必補齊，避免公告錯誤金額。,
zh/academy/join,「學院招生」主題常見問題（前 5 題）待補 —— 來源 TCRFC_資料收件夾/12_FAQ_常見問題★（現有的客服問答、LINE常見詢問、招生Q&A都可以直接丟）/常見問題 FAQ.gdoc 為 Google 文件捷徑，內容尚未匯出取回；且全站 FAQ 模組（單元 12）與嵌入元件 G-12 尚未建置。,TCRFC_資料收件夾/12_FAQ_常見問題★（現有的客服問答、LINE常見詢問、招生Q&A都可以直接丟
zh/academy/life,訓練與比賽影音待補 —— 客戶收件夾中尚未提供影片素材；可考慮改嵌入官方 YouTube 頻道 @TCRFC-2024 的公開播放清單，待頻道整理完成後補上。,
zh/academy/overview,學院訓練基地介紹（場地、時段、各梯隊分佈）待補 —— 來源 TCRFC_資料收件夾/04_ACADEMY_磐石足球學院/4.1_學院總覽與數據亮點★/ （目前資料夾為空）。已知俱樂部主場為西屯足球場（台中市北屯區崇平路二段景谷巷 11 弄 41 號）， 惟學院各梯隊訓練場地是否相同、是否有其他訓練基地，需向客戶確認後才能寫入。,TCRFC_資料收件夾/04_ACADEMY_磐石足球學院/4.1_學院總覽與數據亮點★/ （目前資料夾為空
zh/academy/overview,學員數 待補 —— 來源同上資料夾，目前無在學學員人數統計。,
zh/academy/overview,教練數 ——已知學院教練團編制 3 人（見 4.5 學院教練團 ），惟是否含兼任／各梯隊助教需再確認後才能列為正式統計數字。,
zh/academy/overview,升學率 待補 —— 來源同上資料夾，目前無學員升學／銜接一線隊或海外的統計數字。,
zh/academy/pathway,各階段詳細說明（升級標準、時程、銜接方式）待補 —— 來源 TCRFC_資料收件夾/04_ACADEMY_磐石足球學院/4.3_學院發展路徑/發展路徑.gdoc 為 Google 文件捷徑，內容尚未匯出取回，目前僅能確認路徑的三個階段名稱（規劃書 §3.4／行 198–211）。,TCRFC_資料收件夾/04_ACADEMY_磐石足球學院/4.3_學院發展路徑/發展路徑.gdoc 為 Google 文件捷徑
zh/academy/pathway,U12 階段的訓練重點與升級標準待補，來源同上。,
zh/academy/pathway,U15 階段的訓練重點與升級標準待補，來源同上。,
zh/academy/pathway,銜接一線隊或海外訓練／俱樂部的甄選方式待補，來源同上。 另可參考 3.4 國際發展通道 與 3.3 球員機會 。,
zh/academy/teams,U15 隊照與隊伍簡介待補 —— 來源 TCRFC_資料收件夾/04_ACADEMY_磐石足球學院/4.2_學院隊伍★/U15（名單、教練、賽程、隊照）/ （目前資料夾為空）。,TCRFC_資料收件夾/04_ACADEMY_磐石足球學院/4.2_學院隊伍★/U15（名單、教練、賽程、隊照
zh/academy/teams,U15 球員名單待補 —— 來源同上資料夾。,
zh/academy/teams,各梯隊負責教練待補 —— 學院教練團編制 3 人（見 4.5 學院教練團 ），但個別教練負責哪個梯隊尚未提供，不確定前不列入本隊頁面。,
zh/academy/teams,U15 賽程與成績待補 —— 來源同上資料夾；正式上線後將嵌入行事曆模組（單元 13）之 U15 隊別資料，目前該模組尚未建置。,
zh/academy/teams,U14 隊照與隊伍簡介待補 —— 來源 TCRFC_資料收件夾/04_ACADEMY_磐石足球學院/4.2_學院隊伍★/U14（名單、教練、賽程、隊照）/ （目前資料夾為空）。,TCRFC_資料收件夾/04_ACADEMY_磐石足球學院/4.2_學院隊伍★/U14（名單、教練、賽程、隊照
zh/academy/teams,U14 球員名單待補 —— 來源同上資料夾。,
zh/academy/teams,各梯隊負責教練待補，理由同 U15 頁籤。,
zh/academy/teams,U14 賽程與成績待補 —— 來源同上資料夾；待行事曆模組（單元 13）上線後嵌入。,
zh/academy/teams,U12 隊照與隊伍簡介待補 —— 來源 TCRFC_資料收件夾/04_ACADEMY_磐石足球學院/4.2_學院隊伍★/U12（名單、教練、賽程、隊照）/ （目前資料夾為空）。,TCRFC_資料收件夾/04_ACADEMY_磐石足球學院/4.2_學院隊伍★/U12（名單、教練、賽程、隊照
zh/academy/teams,U12 球員名單待補 —— 來源同上資料夾。,
zh/academy/teams,各梯隊負責教練待補，理由同 U15 頁籤。,
zh/academy/teams,U12 賽程與成績待補 —— 來源同上資料夾；待行事曆模組（單元 13）上線後嵌入。,
zh/academy/teams,其他年齡層隊伍資料待補 —— 來源 TCRFC_資料收件夾/04_ACADEMY_磐石足球學院/4.2_學院隊伍★/其他年齡層/ （目前資料夾為空）。收件夾內另有 U16 、 U18 兩個子資料夾（同樣為空）， 是否併入本頁「其他年齡層」或獨立成隊，需向客戶確認後才能定案。,TCRFC_資料收件夾/04_ACADEMY_磐石足球學院/4.2_學院隊伍★/其他年齡層/ （目前資料夾為空
zh/charity/commitment,完整理念說明文字待補 —— 來源 TCRFC_資料收件夾/11_CHARITY_慈善與社會影響/11.1_慈善理念與投入領域/以足球深耕在地，陪伴孩子成長.gdoc （Google Docs 捷徑尚未取回，以上為依規劃書 §11 與五大核心價值推導的結構性引導文字，非客戶原文）,TCRFC_資料收件夾/11_CHARITY_慈善與社會影響/11.1_慈善理念與投入領域/以足球深耕在地
zh/charity/impact-stories,待補 —— 來源 TCRFC_資料收件夾/11_CHARITY_慈善與社會影響/11.3_慈善事蹟紀錄（每筆一資料夾：YYYY-MM-DD_公益團體名稱）/2025-05-03_台中磐石盃少年足球隊伍/2025-05-03_台中磐石盃少年足球隊伍.gdoc （Google Docs 捷徑尚未取回）,TCRFC_資料收件夾/11_CHARITY_慈善與社會影響/11.3_慈善事蹟紀錄（每筆一資料夾：YYYY-MM-DD_公益團體名稱
zh/charity/impact-stories,待補,
zh/charity/impact-stories,待補,
zh/charity/impact-stories,本筆紀錄內容待補 —— 來源 TCRFC_資料收件夾/11_CHARITY_慈善與社會影響/11.3_慈善事蹟紀錄（每筆一資料夾：YYYY-MM-DD_公益團體名稱）/2024-07-23_潭秀國中暨嶺東高中聯隊/2024-07-23_潭秀國中暨嶺東高中聯隊.gdoc （Google Docs 捷徑尚未取回，且資料夾內無圖片）,TCRFC_資料收件夾/11_CHARITY_慈善與社會影響/11.3_慈善事蹟紀錄（每筆一資料夾：YYYY-MM-DD_公益團體名稱
zh/charity/our-impact,累計統計數字待補 —— 來源 TCRFC_資料收件夾/11_CHARITY_慈善與社會影響/11.4_影響力數據與公益團體Logo/ （目前資料夾為空，僅有系統 Icon 檔）。「已公開紀錄的慈善事蹟」為目前站上 11.3 慈善事蹟 頁面實際列出的筆數，非估計值。 依規劃書， 金額類數據原則上不公開 ，因此不設「累計捐助金額」統計項。,TCRFC_資料收件夾/11_CHARITY_慈善與社會影響/11.4_影響力數據與公益團體Logo/ （目前資料夾為空
zh/charity/our-impact,名單僅涵蓋 11.3 慈善事蹟 已收到的三筆紀錄資料夾名稱；完整合作公益團體名單與 Logo 待客戶提供 TCRFC_資料收件夾/11_CHARITY_慈善與社會影響/11.4_影響力數據與公益團體Logo/ 。,TCRFC_資料收件夾/11_CHARITY_慈善與社會影響/11.4_影響力數據與公益團體Logo/ 
zh/charity/programs,慈善計畫清單待補 —— 來源 TCRFC_資料收件夾/11_CHARITY_慈善與社會影響/11.2_慈善計畫（每案一資料夾：計畫名稱）/慈善計畫.gdoc （目前資料夾僅有共用說明文件的 Google Docs 捷徑，尚未依「每案一資料夾」的規則建立個別計畫資料。 下方為版型骨架，計畫名稱、對象、期間與狀態待客戶提供後填入。）,TCRFC_資料收件夾/11_CHARITY_慈善與社會影響/11.2_慈善計畫（每案一資料夾：計畫名稱
zh/charity/programs,計畫緣起（為何啟動這項計畫、背景說明）,
zh/charity/programs,受贈公益團體名稱,
zh/charity/programs,捐助內容（金錢、物資或服務項目與數量）,
zh/charity/programs,執行過程（時間軸或分階段說明）,
zh/charity/programs,活動圖片藝廊,
zh/charity/programs,相關報導（連結至 7.7 社區活動新聞）,
zh/charity,慈善捐款平台網域待補 —— 客戶尚未確認慈善站網域名稱。本頁「前往慈善捐款平台」按鈕目前為 disabled 佔位；網域一旦印上 QR Code 就難以更動，須最優先確認。,
zh/charity,慈善捐款平台尚未開發 —— 球迷捐款自規劃書 v2.1 起改由獨立網域的慈善捐款平台承接（掃碼入口、LINE Pay、電子發票與捐贈收據），規格見 output/TCRFC_慈善捐款平台功能規劃書.md。本站僅保留介紹與導流。,
zh/charity,勸募資格與捐贈收據資格待確認 —— 屬慈善捐款平台的上線前提，須由俱樂部與會計師／法務確認後才能決定發票模式與是否開放公開募款。,
zh/club/first-team,球隊完整介紹文稿（隊史敘事、球風定位、本季目標等）待補 —— 來源 TCRFC_資料收件夾/03_FOOTBALL_CLUB_一線隊與球員發展/3.1_一線隊D1★/01_球隊介紹與合照/ （目前資料夾僅有合照，尚無文字說明）,TCRFC_資料收件夾/03_FOOTBALL_CLUB_一線隊與球員發展/3.1_一線隊D1★/01_球隊介紹與合照/ （目前資料夾僅有合照
zh/club/first-team,執教經歷與證照待補 —— 來源 3.1_一線隊D1★/03_教練團/總教練_Matino Sofia 瑪蒂諾/ （現況為 Google Docs 捷徑，尚未取回文字內容）,
zh/club/first-team,執教經歷與證照待補 —— 來源 3.1_一線隊D1★/03_教練團/教練_Thomas Castello 托馬斯・卡斯泰洛/ （現況為 Google Docs 捷徑，尚未取回文字內容）,
zh/club/first-team,執教經歷與證照待補 —— 來源 3.1_一線隊D1★/03_教練團/守門員教練_ Juliano Rodrigues 儒利亞諾・羅德里格斯/ （現況為 Google Docs 捷徑，尚未取回文字內容）,
zh/club/first-team,執教經歷與證照待補 —— 來源 3.1_一線隊D1★/03_教練團/體能教練_江奕璠/ （現況為 Google Docs 捷徑，尚未取回文字內容）,
zh/club/first-team,積分榜為人工維護項目，不串接外部 API —— 賽季開打後由後台管理端逐輪更新（積分、勝負和局、進失球數）。目前無可顯示的排名資料。,
zh/club/first-team,—,
zh/club/first-team,其餘榮譽紀錄（歷屆盃賽、個人獎項等）待補 —— 來源 TCRFC_資料收件夾/03_FOOTBALL_CLUB_一線隊與球員發展/3.1_一線隊D1★/05_榮譽紀錄與獎盃照/ （目前僅有 1 張獎盃照片，無文字紀錄）,TCRFC_資料收件夾/03_FOOTBALL_CLUB_一線隊與球員發展/3.1_一線隊D1★/05_榮譽紀錄與獎盃照/ （目前僅有 1 張獎盃照片
zh/club/first-team/player,出生日期、身高體重、慣用腳、加入年份等其餘基本資料待補 —— 來源 TCRFC_資料收件夾/03_FOOTBALL_CLUB_一線隊與球員發展/3.1_一線隊D1★/02_球員名單（每人一資料夾：背號_姓名）/MF 中場/11_楊朝景/,TCRFC_資料收件夾/03_FOOTBALL_CLUB_一線隊與球員發展/3.1_一線隊D1★/02_球員名單（每人一資料夾：背號_姓名
zh/club/first-team/player,生涯出賽、進球、助攻等統計數字待補 —— 俱樂部賽事資料全數人工維護，將於後台建立球員統計模組後回填，目前無可顯示的數字。,
zh/club/first-team/player,本季出賽紀錄待補 —— 賽季開打後由後台依場次逐一更新先發／替補、上場時間與個人數據。,
zh/club/first-team/player,相關新聞待補 —— 正式站將依球員姓名自動關聯 最新消息 中提及該球員的報導，目前新聞內文尚未取回（見 news.json 之 body_zh ）。,
zh/club/first-team/player,球員相關影片待補 —— 尚未取得授權可用之比賽或訪談影片素材。,
zh/club/international-pathways,各俱樂部合作內容（青訓交流／試訓機制／申請流程等）待補 —— 來源 TCRFC_資料收件夾/03_FOOTBALL_CLUB_一線隊與球員發展/3.3_國際發展通道（歐洲／日本／香港、合作俱樂部Logo）/ （目前僅有 3 個俱樂部標誌檔案，尚無合作內容文字說明）,TCRFC_資料收件夾/03_FOOTBALL_CLUB_一線隊與球員發展/3.3_國際發展通道（歐洲／日本／香港、合作俱樂部Logo
zh/club/international-pathways,日本分區合作單位與內容待補 —— 來源同上（目前資料夾內無日本相關素材）,
zh/club/international-pathways,與香港球隊之正式合作內容（若有）待補 —— 目前僅有球員個人旅外紀錄，無俱樂部間協議文件。,
zh/club/international-pathways,申請流程細節待補 —— 來源同 3.3 國際發展通道資料夾,
zh/club/opportunities,報名資格細節（年齡、等級、必備文件等）待補 —— 來源 TCRFC_資料收件夾/03_FOOTBALL_CLUB_一線隊與球員發展/3.3_加入球隊與試訓資訊/ （目前資料夾為空）,TCRFC_資料收件夾/03_FOOTBALL_CLUB_一線隊與球員發展/3.3_加入球隊與試訓資訊/ （目前資料夾為空
zh/club/opportunities,目前尚無公告中的試訓場次 —— 來源 TCRFC_資料收件夾/03_FOOTBALL_CLUB_一線隊與球員發展/3.3_加入球隊與試訓資訊/ （目前資料夾為空）。場次公告後將以此表列出日期、地點、對象、名額與報名截止，並提供線上報名連結。,TCRFC_資料收件夾/03_FOOTBALL_CLUB_一線隊與球員發展/3.3_加入球隊與試訓資訊/ （目前資料夾為空
zh/club/opportunities,外籍球員招募的資格條件、簽證與名額規範待補 —— 來源同 3.3 加入球隊與試訓資訊資料夾（目前資料夾為空）,
zh/club/player-development,說明、訓練方法、負責教練、成效案例連結待補 —— 來源 TCRFC_資料收件夾/03_FOOTBALL_CLUB_一線隊與球員發展/3.2_球員發展系統（八大模組說明）/ （目前資料夾為空）,TCRFC_資料收件夾/03_FOOTBALL_CLUB_一線隊與球員發展/3.2_球員發展系統（八大模組說明
zh/club/player-development,說明、訓練方法、負責教練、成效案例連結待補 —— 來源同上（資料夾為空）,
zh/club/player-development,說明、訓練方法、負責教練、成效案例連結待補 —— 來源同上（資料夾為空）,
zh/club/player-development,說明、訓練方法、負責教練、成效案例連結待補 —— 來源同上（資料夾為空）,
zh/club/player-development,說明、訓練方法、負責教練、成效案例連結待補 —— 來源同上（資料夾為空）,
zh/club/player-development,說明、訓練方法、負責教練、成效案例連結待補 —— 來源同上（資料夾為空）,
zh/club/player-development,說明、訓練方法、負責教練、成效案例連結待補 —— 來源同上（資料夾為空）,
zh/club/player-development,說明、訓練方法、負責教練、成效案例連結待補 —— 來源同上（資料夾為空）,
zh/club/player-stories,故事內文待補 —— 來源 TCRFC_資料收件夾/03_FOOTBALL_CLUB_一線隊與球員發展/3.4_球員故事案例（每案一資料夾：球員姓名）/孫恩祈/ （文稿為 Google Docs 捷徑，尚未取回）,TCRFC_資料收件夾/03_FOOTBALL_CLUB_一線隊與球員發展/3.4_球員故事案例（每案一資料夾：球員姓名
zh/club/player-stories,故事內文待補 —— 來源 TCRFC_資料收件夾/03_FOOTBALL_CLUB_一線隊與球員發展/3.4_球員故事案例（每案一資料夾：球員姓名）/山內大空/ （文稿為 Google Docs 捷徑，尚未取回）,TCRFC_資料收件夾/03_FOOTBALL_CLUB_一線隊與球員發展/3.4_球員故事案例（每案一資料夾：球員姓名
zh/club/player-stories,故事內文待補 —— 來源 TCRFC_資料收件夾/03_FOOTBALL_CLUB_一線隊與球員發展/3.4_球員故事案例（每案一資料夾：球員姓名）/楊朝景/ （文稿為 Google Docs 捷徑，尚未取回）,TCRFC_資料收件夾/03_FOOTBALL_CLUB_一線隊與球員發展/3.4_球員故事案例（每案一資料夾：球員姓名
zh/cookies,Cookie 政策正式條文與實際使用的 Cookie／追蹤工具清單待補 —— 客戶尚未提供相關文件（收件夾同隱私權政策，見 TCRFC_資料收件夾/10_JOIN_CONTACT_加入與聯絡★/04_隱私政策與個資同意條款（若已有）/ ）。 本站正式導入分析、行銷等追蹤碼時，須依規劃書 G-07「Cookie 同意與隱私政策」採 GDPR 友善作法： 追蹤碼於使用者同意後才載入 ，並提供管理偏好的入口。,TCRFC_資料收件夾/10_JOIN_CONTACT_加入與聯絡★/04_隱私政策與個資同意條款（若已有
zh/cookies,說明 Cookie 的基本概念與作用。,
zh/cookies,實際使用項目待補,
zh/cookies,實際使用項目待補,
zh/cookies,實際使用項目待補（如導入 GA4 等分析工具）,
zh/cookies,實際使用項目待補,
zh/cookies,說明 Cookie 同意橫幅的操作方式，以及使用者如何隨時透過瀏覽器設定或本站偏好中心調整同意範圍。,
zh/cookies,列出可能涉及的第三方服務（如 Shopify 商店結帳、社群嵌入、影音嵌入等）及其各自的隱私政策連結。,
zh/cookies,說明政策修訂之公告方式與生效時間。,
zh/culture/fan-club,入會方案內容待補 —— 來源 TCRFC_資料收件夾/08_CULTURE_磐石文化/8.2_球迷會（方案、福利對照、活動照片）/官方球迷會方案.gdoc （Google Docs 捷徑，尚未取回實際文稿）,TCRFC_資料收件夾/08_CULTURE_磐石文化/8.2_球迷會（方案、福利對照、活動照片
zh/culture/fan-club,福利分級對照表待補 —— 來源同上（官方球迷會方案.gdoc 尚未取回）,
zh/culture/fan-club,活動名稱與說明待補,
zh/culture/fan-club,活動名稱與說明待補,
zh/culture/fan-club,活動名稱、日期與活動說明待補 —— 來源 TCRFC_資料收件夾/08_CULTURE_磐石文化/8.2_球迷會（方案、福利對照、活動照片）/ （僅提供 4 張活動照片，檔案時間為 2026-04-26，無文字說明）,TCRFC_資料收件夾/08_CULTURE_磐石文化/8.2_球迷會（方案、福利對照、活動照片
zh/culture/fan-club,年費金額、是否開設家庭方案、各方案含幾件球衣待補 —— 屬客戶決策項目（規劃書第 10 章待確認第 3、4 點）。,
zh/culture/fan-club,球季起訖日與季中入會計價規則待補 —— 會籍採球季制，需確認球季起訖，以及季中入會是否按比例折價（規劃書第 10 章待確認第 5 點）。,
zh/culture/fan-club,球衣尺碼表待補 —— 提供給會員選擇的尺碼範圍（成人／童裝）與依尺寸的備貨策略（規劃書第 10 章待確認第 8 點）。,
zh/culture/fan-club,球迷活動列表待補 —— 來源 TCRFC_資料收件夾/08_CULTURE_台中磐石文化★/8.2_球迷會/ 目前無活動資料，活動卡為空殼。,TCRFC_資料收件夾/08_CULTURE_台中磐石文化★/8.2_球迷會/
zh/culture/manga,企劃緣起與世界觀文案待補 —— 來源 TCRFC_資料收件夾/08_CULTURE_磐石文化/8.1_磐石漫畫/01_企劃緣起與世界觀/ （目前資料夾為空，客戶尚未放入文稿）,TCRFC_資料收件夾/08_CULTURE_磐石文化/8.1_磐石漫畫/01_企劃緣起與世界觀/ （目前資料夾為空
zh/culture/manga,角色設定與原型球員關聯待補 —— 來源 TCRFC_資料收件夾/08_CULTURE_磐石文化/8.1_磐石漫畫/02_角色介紹（每角色一資料夾）/ （目前資料夾為空）,TCRFC_資料收件夾/08_CULTURE_磐石文化/8.1_磐石漫畫/02_角色介紹（每角色一資料夾
zh/culture/manga,集數標題與發布日待補,
zh/culture/manga,集數標題與發布日待補,
zh/culture/manga,集數標題與發布日待補,
zh/culture/manga,集數原稿待補 —— 來源 TCRFC_資料收件夾/08_CULTURE_磐石文化/8.1_磐石漫畫/03_集數原稿（每集一資料夾：EP01…，頁序請照檔名排序）/ （目前資料夾為空）,TCRFC_資料收件夾/08_CULTURE_磐石文化/8.1_磐石漫畫/03_集數原稿（每集一資料夾：EP01…
zh/culture/merchandise,Shopify 商店連結待補 —— 客戶尚未提供商品頁網址。過渡期間，厚底緩震機能襪與台中磐石主場球衣可透過舊官網 www.tcrfc.tw 的 Wix 商店選購；Shopify 商店尚未開站。 本頁「立即選購」按鈕待 Shopify 連結取得後補上，屆時將以新分頁開啟。,
zh/culture/merchandise,（連結待補）,
zh/culture/merchandise,（連結待補）,
zh/culture/merchandise,商品內容待補 —— 來源 TCRFC_資料收件夾/08_CULTURE_磐石文化/8.3_官方商品（商品照、系列介紹、Shopify連結）/ （目前僅收到俱樂部商品照片）,TCRFC_資料收件夾/08_CULTURE_磐石文化/8.3_官方商品（商品照、系列介紹、Shopify連結
zh/culture/merchandise,商品內容待補 —— 來源同上,
zh/culture/merchandise,（連結待補） 過渡期間可先透過舊官網 www.tcrfc.tw 的 Wix 商店選購。,
