類型,舊網址,最後更新,初步建議,客戶決定（保留／改寫／捨棄）,新站對應頁面／備註
新聞,https://www.tcrfc.tw/post/pc_actrestcrfc,2025-04-28,待客戶決定,,
新聞,https://www.tcrfc.tw/post/pc_tyitcrfc,2025-05-01,待客戶決定,,
新聞,https://www.tcrfc.tw/post/tcrfcyouthcup2025,2025-05-02,待客戶決定,,
新聞,https://www.tcrfc.tw/post/pc2025_futuro,2025-05-04,待客戶決定,,
新聞,https://www.tcrfc.tw/post/總統盃：台中磐石-1-5-南市台鋼藍,2025-05-08,待客戶決定,,
新聞,https://www.tcrfc.tw/post/pc2025_nuk-1,2025-05-17,待客戶決定,,
新聞,https://www.tcrfc.tw/post/pc2025_nuk,2025-05-17,待客戶決定,,
新聞,https://www.tcrfc.tw/post/pc2025_tp_tcrfc,2025-06-11,待客戶決定,,
新聞,https://www.tcrfc.tw/post/sles2025,2025-06-11,待客戶決定,,
新聞,https://www.tcrfc.tw/post/tcrfc_pulsefit,2025-06-20,待客戶決定,,
新聞,https://www.tcrfc.tw/post/2025tcrfcguiji,2025-07-08,待客戶決定,,
新聞,https://www.tcrfc.tw/post/2025台中磐石國際足球盃熱血開踢,2025-07-12,待客戶決定,,
新聞,https://www.tcrfc.tw/post/臺中市政府運動局授旗典禮,2025-07-21,待客戶決定,,
新聞,https://www.tcrfc.tw/post/tcrfcintcup_press,2025-07-25,待客戶決定,,
新聞,https://www.tcrfc.tw/post/tcrfcintcupsg2,2025-07-27,待客戶決定,,
新聞,https://www.tcrfc.tw/post/tcrfcrotweissahlen,2025-07-27,待客戶決定,,
新聞,https://www.tcrfc.tw/post/tcrfcintcup_sg1,2025-07-28,待客戶決定,,
新聞,https://www.tcrfc.tw/post/台中磐石國際足球盃-台中磐石-vs-紅白艾倫,2025-07-29,待客戶決定,,
新聞,https://www.tcrfc.tw/post/台中磐石國際足球盃-東方-vs-台中futuro,2025-07-29,待客戶決定,,
新聞,https://www.tcrfc.tw/post/tcrfchellasverona,2025-07-30,待客戶決定,,
新聞,https://www.tcrfc.tw/post/台中磐石國際足球盃-台中磐石-vs-東方,2025-07-31,待客戶決定,,
新聞,https://www.tcrfc.tw/post/台中磐石國際足球盃-紅白艾倫-vs-台中futuro,2025-07-31,待客戶決定,,
新聞,https://www.tcrfc.tw/post/2025twplweek1,2025-08-18,待客戶決定,,
新聞,https://www.tcrfc.tw/post/twplw2tcrfuturo,2025-08-24,待客戶決定,,
新聞,https://www.tcrfc.tw/post/250914tcrfctaiwanpower,2025-09-14,保留（近 1–2 年）,,
新聞,https://www.tcrfc.tw/post/2526d2week2,2025-09-20,保留（近 1–2 年）,,
新聞,https://www.tcrfc.tw/post/2526d1week4,2025-09-21,保留（近 1–2 年）,,
新聞,https://www.tcrfc.tw/post/2526d1week5,2025-09-28,保留（近 1–2 年）,,
新聞,https://www.tcrfc.tw/post/250125d2week3,2025-10-26,保留（近 1–2 年）,,
新聞,https://www.tcrfc.tw/post/d1week6actaipei,2025-10-28,保留（近 1–2 年）,,
新聞,https://www.tcrfc.tw/post/2526d2week4,2025-11-01,保留（近 1–2 年）,,
新聞,https://www.tcrfc.tw/post/251102d1week7mingchuan,2025-11-02,保留（近 1–2 年）,,
新聞,https://www.tcrfc.tw/post/tcrfctechnicaladvisors,2025-11-03,保留（近 1–2 年）,,
新聞,https://www.tcrfc.tw/post/hiu-ming-chan-appointed-technical-consultant-of-taichung-rock-fc-to-drive-long-term-development,2025-11-03,保留（近 1–2 年）,,
新聞,https://www.tcrfc.tw/post/trainingwithverona,2025-11-04,保留（近 1–2 年）,,
新聞,https://www.tcrfc.tw/post/251122div2week5,2025-11-24,保留（近 1–2 年）,,
新聞,https://www.tcrfc.tw/post/251123d1week8,2025-11-24,保留（近 1–2 年）,,
新聞,https://www.tcrfc.tw/post/251130d1week9futuro,2025-11-30,保留（近 1–2 年）,,
新聞,https://www.tcrfc.tw/post/企甲聯賽：台灣電力-1-2-台中磐石,2025-12-07,保留（近 1–2 年）,,
新聞,https://www.tcrfc.tw/post/乙級聯賽：台中磐石足球預備隊-3-3-陽信北競預備隊,2025-12-09,保留（近 1–2 年）,,
新聞,https://www.tcrfc.tw/post/251214tcrfcvstatung,2025-12-14,保留（近 1–2 年）,,
新聞,https://www.tcrfc.tw/post/251213d2week7attackers,2025-12-14,保留（近 1–2 年）,,
新聞,https://www.tcrfc.tw/post/251221tcrfcvstsg,2025-12-22,保留（近 1–2 年）,,
新聞,https://www.tcrfc.tw/post/taichung-rock-fc-and-subkarma-support-local-community-with-book-donation-to-tanxiu-non-profit-kinder,2026-01-12,保留（近 1–2 年）,,
新聞,https://www.tcrfc.tw/post/corporatephilanthropy,2026-01-12,保留（近 1–2 年）,,
新聞,https://www.tcrfc.tw/post/5-taichung-rock-players-invited-to-train-in-italy-with-legnago-salus,2026-02-06,保留（近 1–2 年）,,
新聞,https://www.tcrfc.tw/post/2026legnagotraining,2026-02-06,保留（近 1–2 年）,,
新聞,https://www.tcrfc.tw/post/企甲聯賽：台中磐石-3-1-陽信北競,2026-03-02,保留（近 1–2 年）,,
新聞,https://www.tcrfc.tw/post/企甲聯賽：台中磐石-1-1-銘傳大學,2026-03-08,保留（近 1–2 年）,,
新聞,https://www.tcrfc.tw/post/260412d1week15hangyuan,2026-04-12,保留（近 1–2 年）,,
新聞,https://www.tcrfc.tw/post/260419d1week16futuro,2026-04-19,保留（近 1–2 年）,,
新聞,https://www.tcrfc.tw/post/260321week8hyfc,2026-04-25,保留（近 1–2 年）,,
新聞,https://www.tcrfc.tw/post/260418d2week10wanisland,2026-04-25,保留（近 1–2 年）,,
新聞,https://www.tcrfc.tw/post/260425d2week12taoyuan,2026-04-25,保留（近 1–2 年）,,
新聞,https://www.tcrfc.tw/post/260411d2week9attackers,2026-04-25,保留（近 1–2 年）,,
新聞,https://www.tcrfc.tw/post/260426d1week17taipower,2026-04-27,保留（近 1–2 年）,,
新聞,https://www.tcrfc.tw/post/260503d2week13desafio,2026-05-02,保留（近 1–2 年）,,
新聞,https://www.tcrfc.tw/post/260503d1week18tatung,2026-05-02,保留（近 1–2 年）,,
新聞,https://www.tcrfc.tw/post/260509d2week14actaipeires,2026-05-09,保留（近 1–2 年）,,
新聞,https://www.tcrfc.tw/post/260510d1week19tsg,2026-05-09,保留（近 1–2 年）,,
新聞,https://www.tcrfc.tw/post/260517d1week20actaipei,2026-05-17,保留（近 1–2 年）,,
新聞,https://www.tcrfc.tw/post/260524d1week21mcu,2026-05-24,保留（近 1–2 年）,,
新聞,https://www.tcrfc.tw/post/tcrfcastrencin,2026-08-09,保留（近 1–2 年）,,
新聞,https://www.tcrfc.tw/post/astrencinexchangetrip,2026-08-10,保留（近 1–2 年）,,
新聞分類,https://www.tcrfc.tw/tcrfcnews/categories/社區-台中磐石-taichung-rock-fc,2026-02-16,對應新站 07 新聞分類,,
新聞分類,https://www.tcrfc.tw/tcrfcnews/categories/公告-台中磐石-taichung-rock-fc,2026-02-16,對應新站 07 新聞分類,,
新聞分類,https://www.tcrfc.tw/tcrfcnews/categories/2025台中磐石國際盃-2025-tcrfc-int-cup,2026-02-16,對應新站 07 新聞分類,,
新聞分類,https://www.tcrfc.tw/tcrfcnews/categories/一線隊-first-team,2026-02-16,對應新站 07 新聞分類,,
新聞分類,https://www.tcrfc.tw/tcrfcnews,2026-08-10,對應新站 07 新聞分類,,
新聞分類,https://www.tcrfc.tw/tcrfcnews/categories/消息-news,2026-08-10,對應新站 07 新聞分類,,
新聞分類,https://www.tcrfc.tw/tcrfcnews/categories/比賽-taichung-rock-fc,2026-08-10,對應新站 07 新聞分類,,
新聞分類,https://www.tcrfc.tw/tcrfcnews/categories/english-news,2026-08-10,對應新站 07 新聞分類,,
活動頁,https://www.tcrfc.tw/event-details/fun-fair,2024-12-18,捨棄（Wix 範本殘留）,,
活動頁,https://www.tcrfc.tw/event-details/qi-jia-md-1,2024-12-18,待客戶決定,,
活動頁,https://www.tcrfc.tw/event-details/teacher-appreciation-week,2024-12-18,捨棄（Wix 範本殘留）,,
活動頁,https://www.tcrfc.tw/event-details/qi-jia-md-3,2024-12-18,待客戶決定,,
活動頁,https://www.tcrfc.tw/event-details/qi-jia-md-4,2024-12-18,待客戶決定,,
活動頁,https://www.tcrfc.tw/event-details/qi-jia-md-2,2024-12-18,待客戶決定,,
活動頁,https://www.tcrfc.tw/event-details/president-day-holiday,2024-12-18,捨棄（Wix 範本殘留）,,
活動頁,https://www.tcrfc.tw/event-details/pta-meeting-3,2024-12-18,捨棄（Wix 範本殘留）,,
靜態頁,https://www.tcrfc.tw/worldcup2026,2026-08-27,待客戶決定,,
靜態頁,https://www.tcrfc.tw/比賽-matches,2026-08-27,待客戶決定,,
靜態頁,https://www.tcrfc.tw/aboutus,2026-08-27,待客戶決定,,
靜態頁,https://www.tcrfc.tw/search,2026-08-27,捨棄（Wix 系統／未使用頁）,,
靜態頁,https://www.tcrfc.tw/inquiry-services-page,2026-08-27,捨棄（Wix 系統／未使用頁）,,
靜態頁,https://www.tcrfc.tw/積分表-tables,2026-08-27,待客戶決定,,
靜態頁,https://www.tcrfc.tw/副本-team-球隊,2026-08-27,捨棄（Wix 複製頁）,,
靜態頁,https://www.tcrfc.tw/副本-the-club-俱樂部,2026-08-27,捨棄（Wix 複製頁）,,
靜態頁,https://www.tcrfc.tw,2026-08-27,待客戶決定,,
靜態頁,https://www.tcrfc.tw/general-7,2026-08-27,捨棄（Wix 系統／未使用頁）,,
靜態頁,https://www.tcrfc.tw/book-online,2026-08-27,捨棄（Wix 系統／未使用頁）,,
靜態頁,https://www.tcrfc.tw/tcrfcteam,2026-08-27,待客戶決定,,
靜態頁,https://www.tcrfc.tw/partnership,2026-08-27,待客戶決定,,
靜態頁,https://www.tcrfc.tw/tcrfcnews,2026-08-27,待客戶決定,,
靜態頁,https://www.tcrfc.tw/tcrfcacademy,2026-08-27,待客戶決定,,
靜態頁,https://www.tcrfc.tw/en-home,2026-08-27,待客戶決定,,
